Date,Open,High,Low,Close
07/19/2023,"687.54","687.54","687.54","687.54"
07/18/2023,"684.24","684.24","684.24","684.24"
07/17/2023,"677.16","677.16","677.16","677.16"
07/14/2023,"676.67","676.67","676.67","676.67"
07/12/2023,"698.31","698.31","698.31","698.31"
07/11/2023,"692.40","692.40","692.40","692.40"
07/10/2023,"677.29","677.29","677.29","677.29"
07/07/2023,"672.32","672.32","672.32","672.32"
07/06/2023,"658.58","658.58","658.58","658.58"
07/05/2023,"674.75","674.75","674.75","674.75"
06/30/2023,"676.32","676.32","676.32","676.32"
06/29/2023,"671.85","671.85","671.85","671.85"
06/27/2023,"657.81","657.81","657.81","657.81"
06/26/2023,"655.75","655.75","655.75","655.75"
06/23/2023,"645.47","645.47","645.47","645.47"
06/22/2023,"650.89","650.89","650.89","650.89"
06/21/2023,"659.33","659.33","659.33","659.33"
06/20/2023,"653.48","653.48","653.48","653.48"
06/19/2023,"668.26","668.26","668.26","668.26"
06/16/2023,"668.26","668.26","668.26","668.26"
06/14/2023,"661.73","661.73","661.73","661.73"
06/13/2023,"669.00","669.00","669.00","669.00"
06/09/2023,"671.97","671.97","671.97","671.97"
06/07/2023,"678.69","678.69","678.69","678.69"
06/06/2023,"661.29","661.29","661.29","661.29"
06/05/2023,"656.98","656.98","656.98","656.98"
06/02/2023,"661.25","661.25","661.25","661.25"
05/31/2023,"634.03","634.03","634.03","634.03"
05/30/2023,"645.35","645.35","645.35","645.35"
05/25/2023,"653.88","653.88","653.88","653.88"
05/24/2023,"666.44","666.44","666.44","666.44"
05/23/2023,"663.56","663.56","663.56","663.56"
05/22/2023,"657.18","657.18","657.18","657.18"
05/19/2023,"658.52","658.52","658.52","658.52"
05/16/2023,"638.41","638.41","638.41","638.41"
05/15/2023,"655.44","655.44","655.44","655.44"
05/11/2023,"650.74","650.74","650.74","650.74"
05/10/2023,"658.75","658.75","658.75","658.75"
05/09/2023,"665.86","665.86","665.86","665.86"
05/08/2023,"665.94","665.94","665.94","665.94"
05/05/2023,"665.37","665.37","665.37","665.37"
05/04/2023,"647.33","647.33","647.33","647.33"
05/03/2023,"654.15","654.15","654.15","654.15"
05/02/2023,"667.10","667.10","667.10","667.10"
05/01/2023,"696.52","696.52","696.52","696.52"
04/28/2023,"705.05","705.05","705.05","705.05"
04/26/2023,"692.07","692.07","692.07","692.07"
04/24/2023,"714.94","714.94","714.94","714.94"
04/21/2023,"704.30","704.30","704.30","704.30"
04/20/2023,"708.34","708.34","708.34","708.34"
04/19/2023,"714.63","714.63","714.63","714.63"
04/18/2023,"716.55","716.55","716.55","716.55"
04/17/2023,"713.95","713.95","713.95","713.95"
04/14/2023,"722.57","722.57","722.57","722.57"
04/13/2023,"721.44","721.44","721.44","721.44"
04/12/2023,"717.29","717.29","717.29","717.29"
04/11/2023,"717.12","717.12","717.12","717.12"
04/10/2023,"711.13","711.13","711.13","711.13"
04/05/2023,"716.23","716.23","716.23","716.23"
04/04/2023,"706.94","706.94","706.94","706.94"
04/03/2023,"719.56","719.56","719.56","719.56"
03/31/2023,"688.15","688.15","688.15","688.15"
03/30/2023,"683.29","683.29","683.29","683.29"
03/29/2023,"681.09","681.09","681.09","681.09"
03/28/2023,"671.13","671.13","671.13","671.13"
03/27/2023,"661.70","661.70","661.70","661.70"
03/24/2023,"648.58","648.58","648.58","648.58"
03/23/2023,"646.53","646.53","646.53","646.53"
03/21/2023,"669.40","669.40","669.40","669.40"
03/20/2023,"647.48","647.48","647.48","647.48"
03/17/2023,"634.12","634.12","634.12","634.12"
03/16/2023,"644.80","644.80","644.80","644.80"
03/15/2023,"638.05","638.05","638.05","638.05"
03/14/2023,"674.03","674.03","674.03","674.03"
03/13/2023,"668.86","668.86","668.86","668.86"
03/10/2023,"682.20","682.20","682.20","682.20"
03/09/2023,"692.22","692.22","692.22","692.22"
03/08/2023,"702.46","702.46","702.46","702.46"
03/07/2023,"709.49","709.49","709.49","709.49"
03/06/2023,"721.46","721.46","721.46","721.46"
03/03/2023,"722.57","722.57","722.57","722.57"
03/02/2023,"712.78","712.78","712.78","712.78"
03/01/2023,"706.76","706.76","706.76","706.76"
02/28/2023,"692.75","692.75","692.75","692.75"
02/27/2023,"702.81","702.81","702.81","702.81"
02/23/2023,"700.35","700.35","700.35","700.35"
02/22/2023,"690.15","690.15","690.15","690.15"
02/21/2023,"694.40","694.40","694.40","694.40"
02/20/2023,"697.46","697.46","697.46","697.46"
02/16/2023,"723.70","723.70","723.70","723.70"
02/15/2023,"731.80","731.80","731.80","731.80"
02/14/2023,"743.70","743.70","743.70","743.70"
02/13/2023,"743.51","743.51","743.51","743.51"
02/10/2023,"748.11","748.11","748.11","748.11"
02/09/2023,"720.33","720.33","720.33","720.33"
02/08/2023,"725.73","725.73","725.73","725.73"
02/07/2023,"732.29","732.29","732.29","732.29"
02/06/2023,"711.14","711.14","711.14","711.14"
02/03/2023,"714.81","714.81","714.81","714.81"
02/02/2023,"716.69","716.69","716.69","716.69"
02/01/2023,"734.90","734.90","734.90","734.90"
01/31/2023,"748.29","748.29","748.29","748.29"
01/30/2023,"740.67","740.67","740.67","740.67"
01/27/2023,"758.13","758.13","758.13","758.13"
01/26/2023,"772.47","772.47","772.47","772.47"
01/25/2023,"748.97","748.97","748.97","748.97"
01/23/2023,"752.30","752.30","752.30","752.30"
01/20/2023,"752.27","752.27","752.27","752.27"
01/19/2023,"742.51","742.51","742.51","742.51"
01/18/2023,"735.50","735.50","735.50","735.50"
01/17/2023,"748.48","748.48","748.48","748.48"
01/16/2023,"748.25","748.25","748.25","748.25"
01/12/2023,"747.16","747.16","747.16","747.16"
01/11/2023,"732.88","732.88","732.88","732.88"
01/10/2023,"729.82","729.82","729.82","729.82"
01/09/2023,"723.99","723.99","723.99","723.99"
01/06/2023,"725.93","725.93","725.93","725.93"
01/05/2023,"713.54","713.54","713.54","713.54"
01/04/2023,"701.53","701.53","701.53","701.53"
01/03/2023,"700.09","700.09","700.09","700.09"
01/02/2023,"728.04","728.04","728.04","728.04"
12/29/2022,"722.90","722.90","722.90","722.90"
12/28/2022,"715.74","715.74","715.74","715.74"
12/27/2022,"733.40","733.40","733.40","733.40"
12/26/2022,"726.15","726.15","726.15","726.15"
12/22/2022,"704.29","704.29","704.29","704.29"
12/21/2022,"721.92","721.92","721.92","721.92"
12/20/2022,"707.89","707.89","707.89","707.89"
12/19/2022,"697.85","697.85","697.85","697.85"
12/16/2022,"698.43","698.43","698.43","698.43"
12/15/2022,"708.48","708.48","708.48","708.48"
12/14/2022,"712.10","712.10","712.10","712.10"
12/13/2022,"716.32","716.32","716.32","716.32"
12/12/2022,"703.58","703.58","703.58","703.58"
12/09/2022,"686.11","686.11","686.11","686.11"
12/08/2022,"702.10","702.10","702.10","702.10"
12/07/2022,"706.35","706.35","706.35","706.35"
12/06/2022,"708.25","708.25","708.25","708.25"
12/05/2022,"727.90","727.90","727.90","727.90"
12/02/2022,"750.67","750.67","750.67","750.67"
12/01/2022,"755.12","755.12","755.12","755.12"
